aluno_id,escola_id,professor_id,exper_prof,faltas,nota_port,nota_matem,aluno_sexo,aluno_negro,professor_branco,alimentacao,escola_urbana,escola_rural
10384,244736,24473601,11,2,472,536,0,1,1,1,1,0
10386,244736,24473601,11,6,405,412,0,1,1,1,1,0
10391,244796,24479603,21,4,416,439,0,1,0,1,1,0
10395,162184,16218404,2,5,445,468,0,0,1,1,0,1
10396,244796,24479603,21,6,428,489,0,1,0,1,1,0
10424,244806,24480601,1,4,414,500,1,1,1,1,1,0
10425,159171,15917101,10,8,467,489,0,1,1,1,0,1
10432,169229,16922901,15,6,461,559,1,0,1,0,0,0
10433,162184,16218403,6,4,398,459,1,0,1,1,0,1
10434,244723,24472301,17,3,400,399,0,1,1,1,1,0
10473,244723,24472301,17,17,414,463,1,1,1,1,1,0
10481,215533,21553303,6,7,433,489,1,0,1,0,0,1
10485,169229,16922904,5,9,414,434,1,0,0,0,0,0
10486,169229,16922903,13,7,451,506,1,0,1,1,0,0
10489,244723,24472303,1,3,414,434,0,1,0,1,1,0
10491,244806,24480602,20,5,485,536,1,1,0,1,1,0
10541,244755,24475502,7,23,397,434,1,1,1,1,1,0
10726,244796,24479603,21,7,411,473,1,1,0,0,1,0
10763,169229,16922903,13,13,427,459,1,0,1,0,0,0
10764,169280,16928002,13,0,461,536,1,0,1,0,0,0
10766,180344,18034403,11,4,414,454,1,0,1,1,1,0
10767,201449,20144904,7,2,451,547,1,0,1,1,0,1
10783,257905,25790504,5,10,448,494,1,0,1,0,1,0
10803,215533,21553306,0,74,393,418,1,0,1,1,0,1
10817,244755,24475505,24,24,440,439,1,1,0,1,1,0
10825,244818,24481802,10,10,407,449,0,1,0,1,1,0
10857,201449,20144904,7,13,419,434,0,0,1,1,0,1
10899,193422,19342201,9,8,443,459,0,0,1,1,0,1
10935,169229,16922903,13,3,440,484,1,0,1,0,0,0
10960,112038,11203803,17,5,390,444,1,0,1,1,1,0
10961,112038,11203803,17,18,402,478,1,0,1,1,1,0
10964,128068,12806802,1,12,407,454,0,0,1,1,0,1
10969,166203,16620302,13,9,403,429,0,0,1,1,1,0
10975,112038,11203802,6,3,408,429,1,0,1,1,1,0
10984,189378,18937803,5,6,436,459,0,0,1,0,0,1
10986,128079,12807902,8,14,422,418,0,0,1,1,0,1
10987,205488,20548802,12,0,428,459,0,0,1,1,0,0
10998,221571,22157105,7,8,398,384,0,1,1,1,0,1
11004,215533,21553304,9,5,382,405,0,1,1,1,0,1
11005,244839,24483901,1,11,450,602,1,0,1,0,0,0
11007,257899,25789905,12,0,431,489,0,0,1,1,0,1
11013,228606,22860601,8,25,418,463,0,0,1,1,0,1
11018,225585,22558503,13,8,421,500,1,0,0,0,0,1
11025,189382,18938203,14,24,424,444,0,0,1,1,0,0
11040,244764,24476401,1,12,413,468,0,1,0,1,1,0
11046,112038,11203803,17,29,405,429,0,0,1,1,1,0
11049,257905,25790505,14,39,418,434,1,0,1,1,1,0
11050,128079,12807902,8,3,436,528,1,0,1,0,0,1
11051,128068,12806803,11,3,448,489,1,0,1,1,0,1
11052,225585,22558504,13,13,408,484,0,0,1,1,0,1
11057,244776,24477607,7,55,431,473,0,1,1,1,1,0
11058,244745,24474503,1,1,453,536,1,0,0,1,0,0
11059,244736,24473603,6,14,425,500,1,1,1,1,1,0
11066,128079,12807901,8,27,419,439,0,0,1,1,0,1
11069,244774,24477405,6,19,428,439,1,1,0,1,1,0
11077,169229,16922902,11,7,447,528,1,0,1,0,0,0
11078,169229,16922902,11,3,398,439,0,0,1,0,0,0
11086,244697,24469703,5,6,443,494,0,1,1,1,1,0
11089,201449,20144902,12,8,428,489,1,0,1,1,0,1
11090,244697,24469702,1,6,414,429,0,1,1,1,1,0
11094,244801,24480102,5,0,436,506,0,0,1,0,0,0
11099,191411,19141103,13,23,414,449,1,0,1,1,0,1
11106,244780,24478002,10,11,440,559,0,1,0,1,1,0
11117,208501,20850102,12,29,407,473,1,0,1,1,0,1
11124,215533,21553302,15,3,437,506,1,1,1,1,0,1
11128,201449,20144904,7,5,398,434,1,1,1,0,0,1
11131,205492,20549204,3,18,408,449,1,0,1,1,0,0
11140,244745,24474501,5,3,456,602,1,0,0,1,0,0
11144,218562,21856202,8,6,436,468,1,0,1,1,1,0
11150,128076,12807603,7,36,403,489,1,0,1,1,0,0
11151,203452,20345205,20,8,461,559,1,0,1,0,0,1
11152,205490,20549001,3,18,419,439,0,1,1,1,1,0
11156,205488,20548802,12,10,433,444,1,0,1,1,0,0
11157,252885,25288503,5,7,485,513,0,0,1,0,0,1
11160,244755,24475507,3,21,458,602,1,1,0,1,1,0
11162,257899,25789904,12,2,405,429,1,0,1,1,0,1
11170,112038,11203803,17,4,410,468,1,0,1,1,1,0
11171,112038,11203802,6,7,408,449,0,1,1,1,1,0
11176,128068,12806802,1,15,430,478,1,0,1,1,0,1
11177,205490,20549003,12,1,433,494,1,1,1,1,1,0
11178,205490,20549002,11,1,433,463,1,1,1,1,1,0
11179,244776,24477606,10,1,450,468,1,1,0,1,1,0
11184,234628,23462805,8,14,456,439,1,0,1,0,0,1
11187,205492,20549204,3,9,436,484,0,1,1,0,0,0
11193,205492,20549203,24,18,436,473,0,1,1,1,0,0
11197,205488,20548802,12,12,458,576,0,0,1,0,0,0
11198,244755,24475501,11,16,405,478,1,1,1,1,1,0
11200,205491,20549103,3,10,411,439,1,0,1,0,0,0
11202,205490,20549002,11,16,410,439,0,1,1,1,1,0
11203,205492,20549202,3,2,485,506,0,1,1,1,0,0
11206,203452,20345205,20,17,460,602,1,0,1,0,0,1
11208,161183,16118304,10,12,453,528,0,0,1,1,0,1
11210,128079,12807903,8,34,580,500,0,0,1,0,0,1
11211,161183,16118301,12,4,443,506,0,0,1,0,0,1
11212,205488,20548803,4,1,495,559,0,0,1,0,0,0
11213,205490,20549003,12,8,403,418,0,1,1,1,1,0
11214,203452,20345204,5,9,439,449,1,0,1,0,0,1
11216,205492,20549203,24,16,434,528,0,1,1,1,0,0
11217,180344,18034402,0,8,431,463,1,0,1,0,1,0
11219,205491,20549104,17,15,431,429,0,0,1,1,0,0
11220,161176,16117603,6,20,414,412,0,0,1,0,0,1
11228,128068,12806801,12,21,418,473,0,0,1,1,0,1
11234,231616,23161602,9,21,434,528,1,0,1,1,0,1
11236,244806,24480606,10,2,428,463,1,1,0,1,1,0
11255,205491,20549101,0,5,447,500,1,0,1,1,0,0
11261,209510,20951004,10,2,407,412,1,0,1,0,0,1
11267,193423,19342302,12,43,434,528,1,0,1,1,0,1
11275,221571,22157105,7,12,388,412,1,0,1,1,0,1
11285,244818,24481804,9,0,431,429,1,0,0,0,1,0
11287,244801,24480102,5,17,393,418,1,1,1,1,0,0
11291,169229,16922904,5,8,424,473,1,0,0,0,0,0
11292,244708,24470804,3,10,397,489,1,1,0,1,1,0
11294,244723,24472305,8,5,391,392,1,1,1,1,1,0
11300,244780,24478003,2,3,485,559,0,1,1,1,1,0
11303,168211,16821102,27,10,442,454,0,0,1,0,0,1
11305,252885,25288501,14,5,453,559,0,0,1,1,0,1
11308,244774,24477405,6,3,395,434,1,1,0,1,1,0
11311,112038,11203801,12,4,413,454,1,0,1,1,1,0
11315,244727,24472703,12,6,422,429,1,1,0,1,0,0
11321,164198,16419803,4,11,390,429,1,0,1,0,0,1
11323,234628,23462805,8,33,416,506,1,0,1,0,0,1
11324,168211,16821103,15,11,403,444,1,0,1,0,0,1
11328,169229,16922904,5,15,453,473,1,0,0,0,0,0
11332,244745,24474502,14,12,434,489,0,0,0,0,0,0
11334,244780,24478001,24,36,478,547,0,1,1,1,1,0
11346,244776,24477608,3,5,410,463,1,1,0,1,1,0
11352,189382,18938203,14,7,436,459,0,0,1,0,0,0
11354,244776,24477607,7,2,433,463,1,1,1,1,1,0
11363,244801,24480103,8,17,421,506,1,1,0,1,0,0
11365,205490,20549003,12,4,400,429,1,1,1,1,1,0
11368,208501,20850104,5,10,405,439,1,0,1,1,0,1
11369,193423,19342302,12,48,450,513,0,0,1,0,0,1
11379,244801,24480101,0,9,422,547,0,0,1,0,0,0
11382,228606,22860603,12,9,437,463,0,0,1,0,0,1
11388,244727,24472702,4,5,421,506,0,1,1,0,0,0
11389,244796,24479601,12,4,460,500,1,1,1,1,1,0
11390,244736,24473602,0,27,416,468,0,1,1,1,1,0
11391,244776,24477601,6,3,421,506,1,1,1,1,1,0
11392,244818,24481804,9,4,428,489,0,0,0,0,1,0
11393,244746,24474603,5,7,463,536,1,1,1,1,1,0
11394,244774,24477402,6,13,414,478,1,1,0,1,1,0
11397,244727,24472701,21,0,450,536,0,1,1,0,0,0
11398,244697,24469704,22,4,424,429,1,1,1,1,1,0
11400,244727,24472704,1,14,448,473,0,1,0,0,0,0
11401,244755,24475507,3,1,503,576,0,1,0,1,1,0
11402,244774,24477403,1,4,440,536,1,1,1,1,1,0
11403,244806,24480605,6,3,470,463,0,1,0,1,1,0
11404,244697,24469704,22,6,433,468,1,1,1,1,1,0
11405,244697,24469703,5,16,431,468,0,1,1,1,1,0
11406,244755,24475506,16,7,424,459,0,1,0,1,1,0
11407,244755,24475506,16,1,436,459,0,1,0,1,1,0
11408,244746,24474601,17,34,442,444,1,1,1,1,1,0
11410,244755,24475503,9,21,434,506,1,1,0,1,1,0
11411,244708,24470806,0,9,421,454,0,1,1,1,1,0
11412,244818,24481802,10,1,465,520,0,1,0,0,1,0
11413,244839,24483901,1,8,442,528,0,1,1,0,0,0
11414,244708,24470803,2,1,388,429,0,1,1,1,1,0
11415,244697,24469702,1,15,419,463,1,1,1,1,1,0
11417,244697,24469704,22,8,410,459,0,1,1,1,1,0
11418,244806,24480603,0,4,461,478,1,1,0,1,1,0
11419,244801,24480101,0,6,443,500,0,0,1,0,0,0
11420,244796,24479603,21,12,431,423,1,1,0,1,1,0
11421,244839,24483903,20,0,490,602,0,1,0,0,0,0
11422,244708,24470803,2,4,388,405,1,1,1,1,1,0
11423,244697,24469702,1,17,428,468,1,1,1,1,1,0
11424,244697,24469704,22,3,416,439,1,1,1,1,1,0
11425,244697,24469704,22,9,414,484,0,1,1,1,1,0
11426,244746,24474603,5,16,425,439,1,1,1,1,1,0
11428,244796,24479602,11,0,430,489,0,1,0,1,1,0
11430,244799,24479902,13,5,433,506,0,1,1,0,0,0
11432,244806,24480601,1,3,425,468,1,1,1,1,1,0
11433,244796,24479602,11,1,419,468,1,1,0,1,1,0
11436,244806,24480602,20,28,461,494,0,1,0,1,1,0
11437,244755,24475504,1,28,434,500,1,1,0,1,1,0
11438,244697,24469704,22,2,430,513,0,1,1,1,1,0
11439,244708,24470801,14,2,442,506,1,1,1,1,1,0
11440,244799,24479902,13,18,422,468,1,1,1,1,0,0
11441,244723,24472304,6,17,400,429,1,1,1,1,1,0
11442,244746,24474602,5,1,427,576,0,1,1,0,1,0
11443,244697,24469701,6,19,408,449,1,1,1,1,1,0
11444,244801,24480104,20,23,443,489,0,1,1,0,0,0
11445,244755,24475502,7,25,458,478,1,1,1,1,1,0
11447,244745,24474503,1,NA,467,528,1,0,0,0,0,0
11449,168214,16821402,6,3,442,520,1,0,1,0,0,1
11451,244818,24481803,11,15,413,454,0,1,1,1,1,0
11452,244839,24483903,20,0,480,602,0,1,0,0,0,0
11453,244801,24480103,8,13,448,528,1,0,0,0,0,0
11454,244745,24474504,15,3,445,484,0,1,0,0,0,0
11455,244776,24477607,7,10,439,513,0,1,1,1,1,0
11457,244776,24477603,5,9,467,520,0,1,0,1,1,0
11458,244801,24480102,5,11,445,500,0,0,1,0,0,0
11459,244736,24473603,6,6,447,528,0,1,1,1,1,0
11464,244746,24474601,17,9,447,459,0,1,1,1,1,0
11467,244708,24470804,3,27,380,399,1,1,0,1,1,0
11470,257899,25789902,13,2,405,484,1,0,1,1,0,1
11471,244774,24477402,6,7,439,602,0,1,0,1,1,0
11473,244818,24481801,10,4,430,454,0,1,0,1,1,0
11475,244723,24472301,17,42,419,454,0,1,1,1,1,0
11476,244796,24479601,12,27,403,459,1,1,1,1,1,0
11477,244727,24472704,1,2,433,500,0,1,0,1,0,0
11478,244723,24472304,6,24,424,439,1,1,1,1,1,0
11479,244746,24474602,5,10,397,434,1,1,1,1,1,0
11480,244774,24477401,0,4,500,506,1,1,1,1,1,0
11481,244776,24477606,10,8,414,434,1,1,0,1,1,0
11482,112038,11203801,12,23,402,429,1,0,1,1,1,0
11484,244780,24478002,10,1,470,602,1,1,0,1,1,0
11487,244796,24479601,12,0,447,506,1,1,1,0,1,0
11489,244723,24472304,6,NA,411,468,1,1,1,0,1,0
11490,128076,12807603,7,11,411,449,1,0,1,1,0,0
11491,244728,24472803,15,4,424,473,0,1,0,1,1,0
11492,244776,24477606,10,1,474,478,0,1,0,1,1,0
11493,244708,24470803,2,10,414,444,1,1,1,1,1,0
11494,244774,24477403,1,8,395,434,1,1,1,1,1,0
11495,244708,24470803,2,14,411,449,1,1,1,1,1,0
11496,244697,24469705,14,13,461,454,0,1,0,1,1,0
11497,244708,24470804,3,1,358,384,1,1,0,1,1,0
11499,161176,16117603,6,27,414,449,1,0,1,1,0,1
11501,244755,24475505,24,1,474,602,0,1,0,0,1,0
11503,244780,24478003,2,15,465,626,0,1,1,0,1,0
11504,244727,24472701,21,14,476,513,1,1,1,1,0,0
11505,244708,24470801,14,12,411,439,1,1,1,1,1,0
11506,123056,12305603,16,9,419,484,1,0,1,0,0,1
11508,168214,16821403,16,1,439,500,1,0,1,0,0,1
11513,244745,24474504,15,1,450,478,0,0,0,1,0,0
11514,244806,24480605,6,3,450,576,0,1,0,1,1,0
11515,244697,24469704,22,3,397,423,0,1,1,1,1,0
11516,244776,24477608,3,6,400,449,0,1,0,1,1,0
11517,193422,19342203,11,10,424,473,0,0,1,1,0,1
11519,244818,24481803,11,20,443,429,1,1,1,1,1,0
11520,244799,24479904,6,0,430,468,0,1,1,1,0,0
11521,244727,24472701,21,9,468,536,1,1,1,0,0,0
11526,244799,24479901,10,0,439,484,0,1,1,1,0,0
11527,244799,24479904,6,6,410,489,1,1,1,1,0,0
11530,244839,24483901,1,7,450,536,0,1,1,0,0,0
11536,169219,16921901,14,25,418,473,0,0,1,1,0,0
11537,201449,20144904,7,14,433,547,1,0,1,0,0,1
11539,112038,11203801,12,8,402,439,1,1,1,1,1,0
11540,180344,18034405,1,18,407,454,1,0,1,0,1,0
11544,244796,24479601,12,6,428,478,0,1,1,1,1,0
11545,189378,18937804,12,19,422,459,1,0,1,1,0,1
11557,215533,21553305,4,22,405,473,1,0,1,1,0,1
11559,216536,21653601,2,6,411,454,0,0,1,0,0,1
11561,159171,15917103,10,15,467,489,1,0,1,1,0,1
11567,244745,24474503,1,7,427,513,1,1,0,1,0,0
11573,257899,25789905,12,51,414,484,1,0,1,1,0,1
11576,189382,18938204,7,16,395,434,1,0,1,1,0,0
11577,130085,13008501,22,24,430,468,1,0,1,1,0,0
11587,264945,26494503,3,0,408,439,1,0,1,0,0,0
11589,201449,20144906,7,0,421,449,1,1,1,1,0,1
11591,264945,26494504,5,5,439,489,1,0,1,0,0,0
11595,165199,16519903,12,4,507,559,1,0,1,0,1,0
11607,218562,21856204,0,8,455,576,1,0,1,0,1,0
11613,203452,20345203,19,13,391,444,0,0,1,0,0,1
11616,205491,20549102,15,16,425,463,0,0,1,1,0,0
11617,189382,18938202,15,14,405,418,1,0,1,1,0,0
11620,208501,20850101,13,17,393,412,0,0,1,1,0,1
11628,215533,21553306,0,13,395,489,1,1,1,1,0,1
11630,215533,21553306,0,18,428,500,0,0,1,1,0,1
11633,221574,22157401,1,13,424,463,1,0,1,0,0,1
11634,228606,22860604,14,8,503,602,1,0,1,0,0,1
11637,244708,24470803,2,7,419,494,0,1,1,1,1,0
11639,112038,11203802,6,21,402,429,1,0,1,1,1,0
11640,228606,22860601,8,8,445,547,0,0,1,0,0,1
11646,216536,21653605,1,8,433,463,0,0,1,1,0,1
11647,253888,25388803,5,12,411,444,0,0,1,1,0,1
11649,257899,25789901,13,24,408,473,1,0,1,1,0,1
11651,228606,22860603,12,2,447,536,0,0,1,0,0,1
11656,112038,11203803,17,5,400,444,1,1,1,1,1,0
11659,128068,12806802,1,0,434,439,0,0,1,1,0,1
11664,166203,16620301,11,3,414,454,1,0,1,0,1,0
11666,165199,16519903,12,6,418,459,0,0,1,0,1,0
11669,234628,23462804,10,3,413,454,1,0,1,1,0,1
11670,168211,16821104,8,23,378,405,0,0,1,1,0,1
11672,168214,16821403,16,5,439,520,0,0,1,0,0,1
11674,259915,25991502,15,12,451,536,1,0,1,0,0,1
11678,264945,26494501,17,8,485,576,1,0,1,0,0,0
11681,262937,26293704,8,13,458,559,1,0,1,0,0,0
11698,193423,19342302,12,6,439,547,0,0,1,1,0,1
11701,221571,22157105,7,6,397,405,1,1,1,1,0,1
11703,209510,20951003,13,17,416,468,0,0,1,1,0,1
11704,221571,22157102,3,6,402,412,1,0,1,0,0,1
11705,225585,22558501,13,5,439,536,1,0,1,0,0,1
11707,228606,22860602,13,5,437,547,1,0,1,0,0,1
11708,234628,23462803,9,70,403,444,1,0,1,1,0,1
11711,168211,16821103,15,17,418,444,1,0,1,1,0,1
11712,244745,24474504,15,6,414,478,1,1,0,1,0,0
11722,112038,11203803,17,3,407,463,1,1,1,0,1,0
11725,128079,12807902,8,16,416,484,1,0,1,1,0,1
11733,123056,12305602,6,17,413,444,1,0,1,1,0,1
11734,169231,16923101,9,48,447,473,1,0,1,1,1,0
11737,166203,16620302,13,19,439,463,1,0,1,0,1,0
11739,169229,16922903,13,18,413,423,1,1,1,1,0,0
11742,169229,16922903,13,8,451,473,1,0,1,0,0,0
11744,169229,16922904,5,2,436,468,1,0,0,0,0,0
11750,189378,18937802,2,0,405,434,1,0,1,0,0,1
11755,205489,20548903,3,0,474,626,1,0,1,0,0,0
11756,205491,20549104,17,3,421,463,1,0,1,0,0,0
11763,215533,21553304,9,8,400,439,1,0,1,0,0,1
11769,221574,22157402,8,10,410,423,1,0,1,0,0,1
11784,193422,19342203,11,11,461,513,1,0,1,0,0,1
11787,168211,16821101,10,11,433,478,0,1,1,1,0,1
11793,128076,12807602,8,7,413,399,1,0,1,0,0,0
11795,164198,16419801,13,13,447,520,1,0,1,0,0,1
11797,166203,16620301,11,6,414,434,1,0,1,1,1,0
11798,166203,16620301,11,15,425,429,1,1,1,1,1,0
11815,216536,21653603,8,14,425,500,1,0,1,0,0,1
11817,169219,16921903,18,4,476,536,0,0,1,0,0,0
11820,221574,22157401,1,1,428,459,0,0,1,0,0,1
11829,203452,20345202,11,2,580,576,1,0,1,0,0,1
11831,189382,18938202,15,7,461,489,1,0,1,0,0,0
11832,205491,20549104,17,11,418,520,1,0,1,0,0,0
11833,201449,20144903,6,30,407,405,0,1,1,1,0,1
11838,205491,20549103,3,4,422,449,1,0,1,0,0,0
11843,203452,20345203,19,22,410,454,1,0,1,1,0,1
11856,215533,21553302,15,22,492,559,0,0,1,0,0,1
11862,193423,19342304,13,22,425,444,1,0,1,1,0,1
11865,193422,19342202,8,17,483,559,1,0,1,0,0,1
11869,221571,22157102,3,24,397,439,1,1,1,1,0,1
11870,209510,20951005,15,16,430,489,1,0,1,0,0,1
11871,221571,22157101,3,8,405,399,0,0,0,1,0,1
11875,228606,22860602,13,13,427,478,0,0,1,0,0,1
11876,162184,16218404,2,6,405,513,1,0,1,1,0,1
11881,208503,20850302,8,4,400,418,0,0,1,0,0,1
11882,193422,19342202,8,3,433,473,1,0,1,0,0,1
11883,244799,24479901,10,17,425,463,1,1,1,0,0,0
11886,244776,24477608,3,14,453,528,1,1,0,1,1,0
11891,257899,25789901,13,12,439,506,0,0,1,1,0,1
11892,257899,25789902,13,25,419,478,1,0,1,0,0,1
11894,257899,25789901,13,9,450,494,1,0,1,0,0,1
11895,257905,25790505,14,12,470,547,1,0,1,1,1,0
11899,221574,22157404,2,5,428,468,1,1,1,0,0,1
11901,221574,22157402,8,4,419,468,1,0,1,1,0,1
11902,166203,16620302,13,14,439,454,1,0,1,1,1,0
11907,130085,13008502,7,16,483,602,1,0,1,0,0,0
11910,164198,16419803,4,6,398,439,1,0,1,1,0,1
11913,209510,20951003,13,3,472,520,1,0,1,0,0,1
11914,164198,16419802,12,16,470,576,0,0,1,0,0,1
11916,165199,16519903,12,5,443,547,0,0,1,0,1,0
11917,164198,16419803,4,5,421,449,1,1,1,1,0,1
11919,165199,16519901,12,14,476,576,1,0,1,0,1,0
11920,165199,16519901,12,14,474,536,1,0,1,0,1,0
11921,166203,16620302,13,6,407,463,1,0,1,1,1,0
11926,169219,16921903,18,3,490,528,1,0,1,0,0,0
11927,262937,26293703,18,7,497,602,1,0,1,0,0,0
11934,169219,16921901,14,28,453,602,0,0,1,1,0,0
11937,169229,16922903,13,3,465,559,1,0,1,0,0,0
11938,169231,16923102,9,0,395,418,1,0,1,1,1,0
11939,244839,24483905,11,6,448,528,1,0,0,0,0,0
11940,264945,26494504,5,6,468,528,1,0,1,0,0,0
11944,169229,16922904,5,4,405,494,1,1,0,1,0,0
11946,221574,22157402,8,8,456,489,0,0,1,0,0,1
11948,169219,16921903,18,0,476,520,0,0,1,0,0,0
11949,216536,21653605,1,4,439,500,1,0,1,0,0,1
11952,201449,20144902,12,6,437,528,1,0,1,0,0,1
11956,169280,16928003,7,4,440,484,0,0,1,0,0,0
11957,169229,16922906,16,10,430,473,1,0,0,1,0,0
11959,201449,20144902,12,7,422,506,1,0,1,0,0,1
11961,180344,18034405,1,3,453,528,0,0,1,0,1,0
11962,203452,20345202,11,35,395,449,0,0,1,1,0,1
11964,189382,18938203,14,14,433,484,1,0,1,0,0,0
11965,189378,18937804,12,16,410,392,0,0,1,1,0,1
11967,218562,21856203,11,5,440,468,0,0,1,0,1,0
11970,189396,18939601,5,60,408,412,0,0,1,0,0,1
11973,201449,20144903,6,9,425,429,0,0,1,0,0,1
11974,201449,20144901,4,9,460,547,1,0,1,0,0,1
11976,205488,20548802,12,35,421,484,1,0,1,0,0,0
11977,205489,20548903,3,6,419,434,0,0,1,0,0,0
11979,128076,12807601,0,13,451,506,1,0,1,0,0,0
11980,205491,20549104,17,12,416,494,0,0,1,0,0,0
11987,193423,19342301,6,19,400,405,1,0,1,1,0,1
11988,215533,21553304,9,11,463,576,0,0,1,0,0,1
11989,215533,21553302,15,6,419,506,1,1,1,1,0,1
11990,215533,21553301,3,29,439,484,0,0,1,0,0,1
11991,193422,19342202,8,23,416,468,1,0,1,0,0,1
11992,259915,25991501,11,5,437,473,1,0,1,0,0,1
11995,193422,19342201,9,26,458,484,1,0,1,0,0,1
11998,259915,25991503,5,11,430,528,1,0,1,1,0,1
11999,215533,21553301,3,12,463,528,0,0,1,0,0,1
12000,159171,15917105,16,16,445,500,1,0,1,1,0,1
12001,170295,17029504,1,NA,416,468,1,0,1,1,0,1
12002,215533,21553305,4,14,400,423,1,0,1,0,0,1
12003,159171,15917101,10,12,424,444,1,1,1,1,0,1
12005,209510,20951002,3,11,413,439,0,0,1,0,0,1
12007,221571,22157105,7,5,437,444,1,0,1,0,0,1
12008,221571,22157103,13,1,410,500,0,0,1,0,0,1
12010,209510,20951002,3,38,411,418,0,0,1,0,0,1
12013,225585,22558504,13,2,422,473,1,0,1,1,0,1
12014,228606,22860603,12,7,437,513,1,0,1,0,0,1
12015,228606,22860601,8,8,424,547,0,0,1,0,0,1
12016,231616,23161603,20,5,455,506,0,0,1,1,0,1
12023,180344,18034402,0,0,427,459,0,0,1,1,1,0
12024,244776,24477603,5,6,408,429,1,1,0,1,1,0
12028,244727,24472701,21,1,463,494,0,1,1,0,0,0
12036,130085,13008504,11,10,465,576,1,0,1,0,0,0
12038,216536,21653601,2,1,410,439,1,0,1,1,0,1
12040,252885,25288504,9,18,391,429,0,0,1,1,0,1
12045,257905,25790506,8,5,437,454,0,0,1,1,1,0
12046,253888,25388802,0,20,428,494,1,0,1,0,0,1
12047,257905,25790506,8,3,522,559,0,0,1,0,1,0
12048,257905,25790502,14,13,403,434,1,0,1,1,1,0
12050,180344,18034401,5,3,425,484,1,0,1,0,1,0
12051,261927,26192702,13,21,443,489,0,0,1,0,0,1
12055,112038,11203802,6,5,419,463,1,0,1,0,1,0
12056,261927,26192701,11,7,472,513,1,0,1,0,0,1
12057,130085,13008502,7,0,391,439,1,0,1,1,0,0
12060,128068,12806802,1,15,422,459,0,0,1,1,0,1
12062,161183,16118305,8,21,453,559,1,0,1,1,0,1
12063,161176,16117602,2,20,402,449,1,0,1,1,0,1
12066,168214,16821402,6,5,443,520,0,0,1,0,0,1
12067,123056,12305603,16,5,443,500,0,0,1,0,0,1
12068,168214,16821402,6,14,437,547,0,0,1,0,0,1
12069,168214,16821403,16,2,427,454,0,0,1,0,0,1
12070,168211,16821102,27,5,434,536,1,0,1,0,0,1
12072,168211,16821105,14,7,408,494,0,0,1,1,0,1
12073,168211,16821102,27,22,430,468,1,0,1,1,0,1
12079,168211,16821104,8,18,450,528,0,0,1,1,0,1
12081,261927,26192704,11,19,419,489,1,0,1,0,0,1
12085,169229,16922907,12,4,427,494,1,0,1,0,0,0
12087,234628,23462804,10,6,460,576,0,0,1,0,0,1
12091,130085,13008502,7,5,418,459,0,0,1,0,0,0
12092,261927,26192703,3,7,461,602,1,0,1,0,0,1
12093,262937,26293704,8,12,437,513,0,0,1,0,0,0
12094,169229,16922907,12,27,428,478,0,1,1,1,0,0
