score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,bty_avg
3.7,teaching,not minority,female,english,52,95.2381,20,21,upper,4.833
3.5,teaching,not minority,female,english,52,86.11111,31,36,upper,4.833
3.5,teaching,not minority,female,english,52,89.47369,17,19,upper,4.833
4.4,teaching,not minority,female,english,52,62.16216,23,37,upper,4.833
3.4,tenure track,minority,female,non-english,29,73.07692,19,26,upper,2.833
4.3,tenured,not minority,male,english,62,76.92308,30,39,upper,3
3.7,tenured,not minority,male,english,62,51.08696,94,184,lower,3
4.7,tenured,not minority,male,english,62,92,46,50,upper,3
3.9,tenured,not minority,male,english,62,50.95541,80,157,lower,3
3.6,tenured,not minority,male,english,62,37.19512,61,164,lower,3
4.5,tenured,not minority,male,english,64,62.5,15,24,upper,4.167
4.5,tenured,not minority,male,english,64,75,51,68,upper,4.167
4.8,tenured,not minority,male,english,64,46.80851,22,47,upper,4.167
4.8,tenured,not minority,male,english,64,71.42857,10,14,upper,4.167
4.7,tenured,not minority,male,english,64,73.33334,11,15,upper,4.167
4.5,tenured,not minority,male,english,64,62.5,15,24,upper,4.167
4.3,tenured,not minority,male,english,64,53.84615,21,39,upper,4.167
4.8,tenure track,not minority,female,english,34,76.92308,20,26,upper,7.833
4.1,tenure track,not minority,female,english,34,82.5,33,40,upper,7.833
4.4,tenured,not minority,male,english,58,52.83019,84,159,upper,3.833
4.3,tenured,not minority,male,english,58,47.01987,71,151,upper,3.833
3.6,tenured,not minority,male,english,58,76.59574,36,47,lower,3.833
4.5,tenured,not minority,male,english,58,59.83607,73,122,upper,3.833
4.3,tenured,not minority,male,english,58,68.88889,31,45,lower,3.833
4.4,tenured,minority,male,non-english,52,81.25,13,16,upper,4.833
4.7,tenured,minority,male,non-english,52,100,23,23,upper,4.833
4.8,tenured,minority,male,non-english,52,75,12,16,upper,4.833
3.5,tenured,minority,male,non-english,52,83.33334,15,18,upper,4.833
3.8,tenured,minority,male,non-english,52,68.75,11,16,upper,4.833
3.6,tenured,minority,male,non-english,52,80,12,15,upper,4.833
4.2,tenured,minority,male,non-english,52,64.28571,18,28,upper,4.833
3.6,tenured,not minority,male,english,73,70.58823,12,17,upper,3
4.4,tenured,not minority,male,english,73,76.92308,10,13,upper,3
3.7,tenured,not minority,male,english,73,76.19048,16,21,upper,3
4.3,tenured,not minority,male,english,73,76.47059,13,17,upper,3
4.6,tenured,not minority,male,english,70,35.07463,47,134,upper,3
4.6,tenured,not minority,male,english,70,10.41667,5,48,upper,3
4.1,tenured,not minority,male,english,70,53.125,34,64,upper,3
3.6,tenured,not minority,male,english,70,34.78261,24,69,upper,3
2.3,tenure track,not minority,female,english,41,83.33334,10,12,upper,5.167
4.3,teaching,not minority,male,english,63,65.11628,28,43,upper,4.333
4.4,teaching,not minority,male,english,63,78.57143,11,14,upper,4.333
3.6,teaching,not minority,male,english,63,66.66666,10,15,upper,4.333
4.4,teaching,not minority,male,english,63,77.77778,14,18,upper,4.333
3.9,teaching,not minority,male,english,63,75,12,16,upper,4.333
3.8,teaching,not minority,male,english,63,80,8,10,upper,4.333
3.4,teaching,not minority,male,english,63,48.93617,23,47,upper,4.333
4.9,tenured,not minority,male,english,47,66.66666,10,15,upper,2.667
4.1,tenured,not minority,male,english,47,71.42857,10,14,upper,2.667
3.2,tenured,not minority,male,english,47,83.33334,10,12,upper,2.667
4.2,tenured,not minority,male,english,39,34.95935,86,246,lower,5.5
3.9,tenured,not minority,male,english,39,48.73418,154,316,lower,5.5
4.9,tenured,not minority,male,english,39,80,12,15,upper,5.5
4.7,tenured,not minority,male,english,39,93.33334,14,15,upper,5.5
4.4,tenured,not minority,male,english,39,93.10345,27,29,upper,5.5
4.2,tenure track,minority,female,english,47,100,21,21,lower,4.333
4,tenure track,minority,female,english,47,100,8,8,upper,4.333
4.4,tenure track,minority,female,english,47,100,16,16,lower,4.333
3.9,tenure track,minority,female,english,47,92.30769,24,26,lower,4.333
4.4,tenure track,minority,female,english,47,70,7,10,upper,4.333
3,tenure track,minority,female,english,47,96.15385,25,26,lower,4.333
3.5,tenure track,minority,female,english,47,92.30769,24,26,lower,4.333
2.8,tenure track,minority,female,english,47,92.30769,24,26,lower,4.333
4.6,tenure track,minority,female,english,47,95.2381,20,21,lower,4.333
4.3,tenure track,minority,female,english,47,100,12,12,lower,4.333
3.4,tenure track,minority,female,english,47,92.59259,25,27,lower,4.333
3,tenure track,minority,female,english,47,96.2963,26,27,lower,4.333
4.2,tenure track,minority,female,english,47,96,24,25,lower,4.333
4.3,tenured,not minority,male,english,54,100,15,15,upper,2.333
4.1,tenured,not minority,male,english,54,66.66666,10,15,upper,2.333
4.6,tenured,not minority,male,english,54,94.11765,16,17,upper,2.333
3.9,tenured,minority,female,english,44,54.54546,30,55,upper,6.5
3.5,tenured,minority,female,english,44,72.91666,35,48,upper,6.5
4,tenured,minority,female,english,44,100,21,21,upper,6.5
4,tenured,minority,female,english,44,89.74359,35,39,upper,6.5
3.9,tenured,minority,male,english,47,74.07407,20,27,upper,2.333
3.3,tenured,minority,male,english,47,64.28571,9,14,upper,2.333
4,tenured,minority,male,english,47,80.76923,21,26,upper,2.333
3.8,tenured,minority,male,english,47,81.25,13,16,upper,2.333
4.2,tenured,minority,male,english,47,81.25,13,16,upper,2.333
4,tenured,minority,male,english,47,92.30769,12,13,upper,2.333
3.8,tenured,minority,male,english,47,100,14,14,upper,2.333
3.3,tenured,minority,male,english,47,88.23529,15,17,upper,2.333
4.1,tenured,not minority,male,english,62,92.30769,12,13,upper,3
4.7,tenured,not minority,male,english,62,86.66666,13,15,upper,3
4.4,tenured,not minority,male,english,62,70,7,10,upper,3
4.8,tenured,not minority,male,english,60,73.52941,25,34,upper,3.667
4.8,tenured,not minority,male,english,60,75,12,16,upper,3.667
4.6,tenured,not minority,male,english,60,78.57143,11,14,upper,3.667
4.6,tenured,not minority,male,english,60,66.66666,8,12,upper,3.667
4.8,tenured,not minority,male,english,60,61.53846,24,39,upper,3.667
4.4,tenured,not minority,male,english,60,42.85714,15,35,upper,3.667
4.7,tenured,not minority,male,english,60,68.88889,31,45,upper,3.667
4.7,tenured,not minority,male,english,60,80,36,45,lower,3.667
3.3,tenure track,not minority,male,english,37,88.23529,15,17,upper,6.167
4.4,tenure track,not minority,male,english,42,92.85714,13,14,upper,4
4.3,tenure track,not minority,male,english,42,100,14,14,upper,4
4.9,tenure track,not minority,male,english,42,92.85714,13,14,upper,4
4.4,tenure track,not minority,male,english,42,100,12,12,upper,4
4.7,tenure track,not minority,male,english,42,86.66666,13,15,upper,4
4.3,tenured,not minority,male,english,35,82.35294,42,51,upper,4.833
4.8,tenured,not minority,male,english,35,91.30434,21,23,lower,4.833
4.5,tenured,not minority,male,english,35,85.96491,49,57,upper,4.833
4.7,tenured,not minority,male,english,35,88,44,50,lower,4.833
3.3,teaching,not minority,female,english,39,91.66666,22,24,lower,8.167
4.7,teaching,not minority,female,english,39,78.26087,18,23,upper,8.167
4.6,teaching,not minority,female,english,39,86.95652,20,23,upper,8.167
3.6,teaching,not minority,female,english,39,96.42857,27,28,lower,8.167
4,tenured,not minority,male,english,49,62.22222,28,45,upper,6.5
4.1,tenured,not minority,male,english,49,64.28571,27,42,upper,6.5
4,tenured,not minority,male,english,49,85.96491,49,57,upper,6.5
4.5,tenured,not minority,male,english,61,81.48148,22,27,lower,4.833
4.6,tenured,not minority,male,english,61,81.57895,31,38,upper,4.833
4.8,tenured,not minority,male,english,61,86.36364,19,22,lower,4.833
4.6,tenured,not minority,male,english,61,62.7907,27,43,upper,4.833
4.9,tenure track,not minority,male,english,33,96.77419,30,31,upper,7
3.1,tenure track,not minority,male,english,33,92.30769,12,13,upper,7
3.7,tenure track,not minority,male,english,33,86.66666,13,15,upper,7
3.7,tenured,not minority,female,english,58,76.47059,26,34,upper,4.667
3.9,tenured,not minority,female,english,56,63.15789,12,19,upper,3.833
3.9,tenured,not minority,female,english,56,80,16,20,upper,3.833
3.2,tenured,not minority,female,english,56,73.91304,17,23,upper,3.833
4.4,teaching,not minority,female,english,50,81.48148,22,27,lower,3.167
4.2,teaching,not minority,female,english,50,75,24,32,lower,3.167
4.7,teaching,not minority,female,english,50,66.66666,14,21,lower,3.167
3.9,teaching,not minority,female,english,50,95.83334,23,24,upper,3.167
3.6,teaching,not minority,female,english,50,90.47619,19,21,upper,3.167
3.4,teaching,not minority,female,english,50,64.28571,18,28,upper,3.167
4.4,teaching,not minority,female,english,50,79.31035,23,29,upper,3.167
4.4,tenured,not minority,male,english,52,85.07462,57,67,upper,3.167
4.1,tenured,not minority,male,english,52,91.01124,81,89,upper,3.167
3.6,tenured,not minority,male,english,52,90.2439,74,82,upper,3.167
3.5,tenured,not minority,male,english,52,83.60656,102,122,upper,3.167
4.1,tenured,not minority,male,english,52,71.75572,94,131,upper,3.167
3.8,tenured,not minority,male,english,52,78.07018,89,114,upper,3.167
4,tenured,not minority,male,english,52,89.26174,133,149,upper,3.167
4.8,tenured,not minority,male,english,52,95.65218,22,23,upper,3.167
4.2,tenured,not minority,male,english,52,79.59184,78,98,upper,3.167
4.6,tenured,not minority,male,english,52,81.48148,22,27,upper,3.167
4.3,tenured,not minority,male,english,52,90,27,30,upper,3.167
4.8,tenured,not minority,male,english,52,90,27,30,upper,3.167
3.8,tenured,not minority,male,english,52,86.95652,60,69,upper,3.167
4.5,tenure track,not minority,female,english,33,66.66666,10,15,upper,5.833
4.9,tenure track,not minority,female,english,33,100,10,10,upper,5.833
4.9,tenure track,not minority,female,english,33,90.90909,10,11,upper,5.833
4.8,tenure track,not minority,female,english,33,71.42857,10,14,upper,5.833
4.7,tenure track,not minority,female,english,33,63.63636,7,11,upper,5.833
4.6,tenure track,not minority,female,english,33,100,14,14,upper,5.833
4.3,tenured,not minority,male,english,57,89.61039,69,77,upper,5.667
4.4,tenured,not minority,male,english,57,87.80488,36,41,upper,5.667
4.5,tenured,not minority,male,english,57,81.81818,72,88,upper,5.667
4.2,tenured,not minority,male,english,57,80.76923,63,78,upper,5.667
4.8,tenured,not minority,female,english,38,70.76923,46,65,upper,6.5
4.6,tenured,not minority,female,english,38,69.42675,109,157,lower,6.5
4.9,tenured,not minority,female,english,38,79.41177,54,68,upper,6.5
4.8,tenured,not minority,female,english,38,76.1194,51,67,upper,6.5
4.8,tenured,not minority,female,english,38,76.25,61,80,upper,6.5
4.6,tenured,not minority,female,english,38,74.45255,102,137,lower,6.5
4.7,tenured,not minority,female,english,38,84.05797,58,69,upper,6.5
4.1,tenure track,not minority,female,english,34,59.34066,54,91,lower,1.667
3.8,tenure track,not minority,female,english,34,57.5,46,80,lower,1.667
4,tenure track,not minority,female,english,34,58.88889,53,90,lower,1.667
4.1,tenure track,not minority,female,english,34,55.88235,19,34,upper,1.667
4,tenure track,not minority,female,english,34,56.16438,41,73,upper,1.667
4.1,tenure track,not minority,female,english,34,56.81818,25,44,upper,1.667
3.5,tenure track,not minority,male,english,34,66.66666,24,36,upper,6.667
4.1,tenure track,not minority,male,english,34,80,16,20,upper,6.667
3.6,tenure track,not minority,male,english,34,57.14286,20,35,lower,6.667
4,tenure track,not minority,male,english,32,34.27419,85,248,lower,3.667
3.9,tenure track,not minority,male,english,32,41.07143,69,168,lower,3.667
3.8,tenure track,not minority,male,english,32,39.67611,98,247,lower,3.667
4.4,tenure track,not minority,male,english,32,90.90909,20,22,upper,3.833
4.7,tenure track,not minority,male,english,32,69.90292,72,103,upper,3.833
3.8,tenured,not minority,female,english,42,70.96774,44,62,lower,6.167
4.1,tenured,not minority,female,english,42,62.19512,51,82,upper,6.167
4.1,tenured,not minority,female,english,43,68.62745,35,51,lower,3.333
4.7,tenured,not minority,female,english,43,51.42857,18,35,upper,3.333
4.3,tenured,not minority,female,english,43,76.47059,26,34,lower,3.333
4.4,tenured,not minority,female,english,43,75.67567,28,37,lower,3.333
4.5,tenured,not minority,female,english,43,92.85714,13,14,lower,3.333
3.1,tenured,not minority,female,english,43,65.41354,174,266,lower,3.333
3.7,tenured,not minority,female,english,43,67.32284,171,254,lower,3.333
4.5,tenured,not minority,female,english,43,76.92308,10,13,upper,3.333
3,tenured,not minority,female,english,43,58.86525,166,282,lower,3.333
4.6,tenured,not minority,female,english,43,100,17,17,upper,3.333
3.7,tenure track,not minority,male,non-english,35,57.89474,11,19,upper,3.667
3.6,tenure track,not minority,male,non-english,35,52.38095,22,42,lower,3.667
3.2,tenured,not minority,female,english,62,81.48148,22,27,upper,3.5
3.3,tenured,not minority,female,english,62,56.25,9,16,upper,3.5
2.9,tenured,not minority,female,english,62,73.68421,14,19,upper,3.5
4.2,tenured,not minority,male,english,42,52.32558,45,86,upper,2.667
4.5,tenured,not minority,male,english,39,75.86207,22,29,upper,5.667
3.8,tenured,not minority,female,english,52,72.72727,64,88,upper,6
3.7,tenured,not minority,female,english,52,71.42857,70,98,upper,6
3.7,tenured,not minority,female,english,52,70.45454,31,44,upper,6.5
4,tenured,not minority,female,english,52,75.38461,49,65,upper,6.5
3.7,tenured,not minority,female,english,52,50.79365,32,63,upper,6.5
4.5,teaching,not minority,female,english,52,78.66666,59,75,upper,2.333
3.8,teaching,not minority,female,english,52,81.39535,35,43,upper,2.333
3.9,teaching,not minority,female,english,52,73.75,59,80,upper,2.333
4.6,teaching,not minority,female,english,52,86.53846,45,52,upper,2.333
4.5,teaching,not minority,female,english,52,70.83334,34,48,upper,2.333
4.2,teaching,not minority,female,english,52,75.75758,50,66,upper,2.333
4,teaching,not minority,female,english,52,67,67,100,upper,2.333
3.8,tenured,not minority,male,english,64,81.81818,9,11,upper,2.333
3.5,tenured,not minority,male,english,64,50,8,16,upper,2.333
2.7,tenured,not minority,male,english,64,81.81818,18,22,upper,2.333
4,tenured,not minority,male,english,64,45.45454,5,11,upper,2.333
4.6,tenured,not minority,male,english,64,50,5,10,upper,2.333
3.9,tenured,not minority,male,english,64,100,16,16,upper,2.333
4.5,tenured,not minority,male,english,50,93.75,15,16,upper,7.167
3.7,tenured,not minority,male,english,50,90,9,10,upper,7.167
2.4,tenured,not minority,male,english,60,71.875,23,32,upper,1.667
3.1,tenured,not minority,male,english,60,70,7,10,upper,1.667
2.5,tenured,not minority,male,english,60,62.5,10,16,upper,1.667
3,tenured,not minority,female,english,51,70.14925,47,67,upper,5.167
4.5,tenure track,not minority,male,english,43,86.36364,19,22,lower,3.5
4.8,tenure track,not minority,male,english,43,53.57143,15,28,lower,3.5
4.9,tenure track,not minority,male,english,43,60,18,30,lower,3.5
4.5,tenure track,not minority,male,english,43,73.33334,11,15,lower,3.5
4.6,tenure track,not minority,male,english,43,76.92308,10,13,lower,3.5
4.5,tenure track,not minority,male,english,43,94.44444,17,18,lower,3.5
4.9,tenure track,not minority,male,english,43,84.61539,22,26,lower,3.5
4.4,tenure track,not minority,male,english,43,60,18,30,lower,3.5
4.6,tenure track,not minority,male,english,43,100,14,14,lower,3.5
4.6,teaching,minority,male,english,50,70.83334,17,24,lower,3.333
5,teaching,minority,male,english,50,90.90909,20,22,lower,3.333
4.9,teaching,minority,male,english,50,84,21,25,lower,3.333
4.6,teaching,minority,male,english,50,88.46154,23,26,lower,3.333
4.8,teaching,minority,male,english,50,86.36364,19,22,lower,3.333
4.9,teaching,minority,male,english,50,76.92308,20,26,lower,3.333
4.9,teaching,minority,male,english,50,85,17,20,lower,3.333
4.9,teaching,minority,male,english,50,81.81818,18,22,lower,3.333
5,teaching,minority,male,english,50,95.2381,20,21,lower,3.333
4.5,teaching,minority,male,english,50,90.47619,19,21,lower,3.333
3.5,tenured,not minority,male,english,52,66.66666,46,69,upper,5.833
3.8,tenured,not minority,male,english,52,70.76923,46,65,upper,5.833
3.9,tenured,not minority,male,english,52,62.90322,39,62,upper,5.833
3.9,tenured,not minority,male,english,52,50.74627,34,67,upper,5.833
4.2,tenured,not minority,male,english,52,72.5,29,40,upper,5.833
4.1,tenured,not minority,male,english,52,60,27,45,upper,5.833
4.8,tenured,not minority,male,english,51,60.62718,348,574,lower,6.167
4.8,tenured,not minority,male,english,51,64.2487,372,579,lower,6.167
4.8,tenured,not minority,male,english,51,63.87337,343,537,lower,6.167
4.8,tenured,not minority,male,english,51,65.40447,380,581,lower,6.167
4.9,tenured,not minority,male,english,51,61.10057,322,527,lower,6.167
4.2,tenured,not minority,male,english,38,50.57471,44,87,lower,3.333
4.5,tenured,not minority,male,english,38,78.57143,66,84,lower,3.333
3.9,tenured,not minority,male,english,38,50.63291,40,79,lower,3.333
4.4,tenured,not minority,male,english,38,65.21739,60,92,lower,3.333
4,tenured,not minority,female,english,47,79.16666,19,24,lower,5.167
3.6,tenured,not minority,female,english,47,56.71642,38,67,lower,5.167
3.7,tenured,minority,female,english,43,45.63107,47,103,lower,4.167
2.7,tenured,minority,female,english,43,48.94737,93,190,lower,4.167
4.5,teaching,not minority,female,english,38,48.52941,33,68,lower,2.5
4.4,teaching,not minority,female,english,38,60,36,60,lower,2.5
3.9,teaching,not minority,female,english,38,45.3125,29,64,lower,2.5
3.6,teaching,not minority,female,english,38,74.19355,23,31,lower,2.5
4.4,teaching,not minority,female,english,38,58.06452,36,62,lower,2.5
4.4,teaching,not minority,female,english,38,81.08108,30,37,lower,2.5
4.7,tenured,not minority,male,english,43,76.92308,10,13,lower,4.333
4.5,tenured,not minority,male,english,43,61.53846,8,13,lower,4.333
4.1,tenured,not minority,male,english,43,80,12,15,upper,4.333
3.7,tenured,not minority,male,english,43,82.27848,65,79,upper,4.333
4.3,tenured,not minority,male,english,57,53.84615,7,13,upper,3
3.5,tenured,not minority,male,english,57,54.08163,53,98,upper,3
3.7,tenured,not minority,male,english,57,59.79382,58,97,upper,3
4,tenured,not minority,female,english,51,81.81818,9,11,upper,6.333
4,tenured,not minority,female,english,51,85.89744,67,78,upper,6.333
3.1,tenured,not minority,female,english,51,64.28571,36,56,upper,6.333
4.5,tenured,not minority,female,english,51,85,17,20,upper,6.333
4.8,teaching,not minority,male,english,45,70.58823,12,17,lower,3.333
4.2,teaching,not minority,male,english,45,85,17,20,lower,3.333
4.9,teaching,not minority,male,english,45,68.42105,13,19,lower,3.333
4.8,teaching,not minority,male,english,45,73.07692,19,26,lower,3.333
3.5,tenured,not minority,male,english,57,92.85714,13,14,lower,2.833
3.6,tenured,not minority,male,english,57,66.66666,12,18,lower,2.833
4.4,tenured,not minority,male,english,57,100,12,12,lower,2.833
3.4,tenured,not minority,male,english,57,84.21053,16,19,lower,2.833
3.9,tenured,not minority,male,english,57,75,12,16,lower,2.833
3.8,tenured,not minority,male,english,57,87.5,14,16,lower,2.833
4.8,tenured,not minority,male,english,57,91.66666,11,12,lower,2.833
4.6,tenured,not minority,male,english,57,88.23529,15,17,lower,2.833
5,tenured,not minority,male,english,57,40,6,15,upper,2.833
3.8,tenured,not minority,male,english,57,93.75,15,16,lower,2.833
4.2,tenured,not minority,male,english,57,70.58823,12,17,lower,2.833
3.3,teaching,not minority,female,english,47,76.19048,16,21,lower,6.667
4.7,teaching,not minority,female,english,47,88.23529,15,17,lower,6.667
4.6,teaching,not minority,female,english,47,100,10,10,lower,6.667
4.6,teaching,not minority,female,english,47,94.11765,16,17,lower,6.667
4,teaching,not minority,female,english,47,88.23529,15,17,lower,6.667
4.2,tenured,minority,female,english,54,100,18,18,lower,6.833
4.9,tenured,minority,female,english,54,93.75,15,16,lower,6.833
4.5,tenured,minority,female,english,54,80.76923,21,26,lower,6.833
4.8,tenured,minority,female,english,54,77.77778,14,18,lower,6.833
3.8,tenured,minority,female,english,54,80,16,20,lower,6.833
4.8,teaching,not minority,male,english,58,94.11765,16,17,lower,7.833
